cnae_subclasse_key,descricao,nivel,secao,divisao,grupo,classe,subclasse,e_obj4_original,com_agr_original,com_min_original,e_obj4_ajustado,com_agr_ajustado,com_min_ajustado,excluir_obj4,classificacao,q_salario,q_vinculos,rank_salario,rank_vinculos,rank_massa,salario_relativo,vinculos,massa_salarial_rais_2024,remuneracao,indice,e_obj4,com_agr,com_min
1111901,Fabricação de aguardente de cana-de-açúcar,Subclasse,C,11,111,11119,1111901,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,2.0,580.0,750.0,767.0,1023234958808346.0,8916.0,2536878414.0,2845310020188425.0,176415869435155.0,0,0,0
1111902,Fabricação de outras aguardentes e bebidas destiladas,Subclasse,C,11,111,11119,1111902,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,2.0,356.0,869.0,831.0,1341276775304735.0,5068.0,1890206424.0,37296890765588.0,292032296896012.0,0,0,0
1112700,Fabricação de vinho,Subclasse,C,11,111,11127,1112700,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,2.0,531.0,699.0,713.0,1085119930023708.0,10570.0,3189385029.0,3017393594134342.0,205467467103285.0,0,0,0
111301,Cultivo de arroz,Subclasse,A,01,011,01113,0111301,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,3.0,3.0,652.0,420.0,460.0,9510765380749104.0,28515.0,7541245308.0,2644659059442399.0,201283289086415.0,0,0,0
111302,Cultivo de milho,Subclasse,A,01,011,01113,0111302,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,4.0,715.0,218.0,245.0,9118240084432272.0,66606.0,16888014765.0,2535509528420863.0,28022172795437.0,0,0,0
111303,Cultivo de trigo,Subclasse,A,01,011,01113,0111303,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,1.0,587.0,1043.0,1059.0,1014797272557789.0,2001.0,564651653.0,2821847341329335.0,155577234146511.0,0,0,0
1113501,"Fabricação de malte, inclusive malte uísque",Subclasse,C,11,111,11135,1113501,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,4.0,1.0,140.0,1155.0,1075.0,2146954393012609.0,830.0,495513094.0,5970037277108434.0,592496196267373.0,0,0,0
1113502,Fabricação de cervejas e chopes,Subclasse,C,11,111,11135,1113502,0,0,0,0,0,0,0,Alta remuneração e alto emprego,4.0,4.0,158.0,237.0,143.0,2014608054354845.0,58760.0,32917479741.0,5602021739448605.0,765283288510545.0,0,0,0
111399,Cultivo de outros cereais não especificados anteriormente,Subclasse,A,01,011,01113,0111399,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,4.0,678.0,315.0,372.0,9360144626956940.0,41544.0,10812972357.0,2602775938041594.0,228207202363516.0,0,0,0
112101,Cultivo de algodão herbáceo,Subclasse,A,01,011,01121,0112101,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,426.0,486.0,461.0,1219033040287335.0,22195.0,7523585314.0,3389765854471728.0,291809107133744.0,0,0,0
112102,Cultivo de juta,Subclasse,A,01,011,01121,0112102,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,1.0,736.0,1282.0,1284.0,8991847147843582.0,64.0,16002326.0,25003634375.0,117950710740994.0,0,0,0
1121600,Fabricação de águas envasadas,Subclasse,C,11,112,11216,1121600,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,3.0,979.0,351.0,466.0,7428671266398709.0,35933.0,7422647589.0,2065691033033702.0,153586351993569.0,0,0,0
112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,Subclasse,A,01,011,01121,0112199,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,1.0,985.0,1049.0,1100.0,7394194552027578.0,1909.0,392510271.0,2056104091147197.0,79141756707108.0,0,0,0
1122401,Fabricação de refrigerantes,Subclasse,C,11,112,11224,1122401,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,4.0,450.0,242.0,228.0,117923351838203.0,57800.0,18953170844.0,3279095301730104.0,373018731076603.0,0,0,0
1122402,Fabricação de chá mate e outros chás prontos para consumo,Subclasse,C,11,112,11224,1122402,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,1.0,784.0,1230.0,1233.0,8696857275656116.0,315.0,76177571.0,2418335587301587.0,110635694564075.0,0,0,0
1122403,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",Subclasse,C,11,112,11224,1122403,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,2.0,511.0,725.0,727.0,1110016806762895.0,9786.0,3020570592.0,3086624353157572.0,213385764785391.0,0,0,0
1122404,,,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE BEBIDAS,Fabricação de bebidas não alcoólicas,Fabricação de refrigerantes e de outras bebidas não alcoólicas,Fabricação de bebidas isotônicas,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0
1122499,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,Subclasse,C,11,112,11224,1122499,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,2.0,522.0,941.0,957.0,1095359330303782.0,3511.0,1069403658.0,3045866300199373.0,190982938134242.0,0,0,0
113000,Cultivo de cana-de-açúcar,Subclasse,A,01,011,01130,0113000,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,3.0,4.0,626.0,86.0,94.0,9736922223372096.0,182598.0,49439257677.0,270754650527388.0,588933478578289.0,0,0,0
114800,Cultivo de fumo,Subclasse,A,01,011,01148,0114800,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,1.0,2.0,1221.0,910.0,1028.0,6071687678811569.0,4021.0,678887357.0,1688354531211142.0,47573589955277.0,0,0,0
115600,Cultivo de soja,Subclasse,A,01,011,01156,0115600,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,4.0,517.0,43.0,39.0,1099969125660608.0,327562.0,100190889759.0,3058684760717055.0,1048510584086561.0,0,0,0
116401,Cultivo de amendoim,Subclasse,A,01,011,01164,0116401,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,1.0,526.0,1019.0,1025.0,1088592612256098.0,2274.0,688351189.0,302705008355321.0,185081854142382.0,0,0,0
116402,Cultivo de girassol,Subclasse,A,01,011,01164,0116402,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,1.0,335.0,1301.0,1292.0,1401310390336526.0,24.0,9351899000000000.0,3896624583333334.0,300336122892137.0,0,0,0
116403,Cultivo de mamona,Subclasse,A,01,011,01164,0116403,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,1.0,987.0,1317.0,1318.0,7392237882706343.0,1.0,205556.0,205556.0,74975764207296.0,0,0,0
