nivel_territorial,tipo_grupo,grupo,metodo_media,razao_referencia,n_territorios_grupo,massa_total_grupo,massa_obj4_grupo,massa_com_grupo,razao_dependencia_grupo_ponderada,razao_dependencia_grupo_media_simples,razao_dependencia_grupo_media_pond
tipologia,q_pib_pop,QPIB2_QPOP1,ponderada_massa_obj4,0.10776611102310515,34,27212156566.908905,10852026028.525846,1169480641.8157432,0.10776611102310515,0.5338077124282776,0.10776611102310515
tipologia,q_pib_pop,QPIB2_QPOP2,simples,0.367852178746393,119,86982959809.63193,34495277121.9022,4805948988.214323,0.13932194170322715,0.367852178746393,0.13932194170322715
tipologia,q_pib_pop,QPIB2_QPOP2,ponderada_refeita,0.13932194170322715,119,86982959809.63193,34495277121.9022,4805948988.214323,0.13932194170322715,0.367852178746393,0.13932194170322715
tipologia,q_pib_pop,QPIB2_QPOP2,ponderada_massa_obj4,0.13932194170322715,119,86982959809.63193,34495277121.9022,4805948988.214323,0.13932194170322715,0.367852178746393,0.13932194170322715
tipologia,q_pib_pop,QPIB2_QPOP3,simples,0.21899073621561546,68,46939217284.70168,15560241514.413073,2093540982.8124979,0.1345442473288928,0.21899073621561546,0.13454424732889278
tipologia,q_pib_pop,QPIB2_QPOP3,ponderada_refeita,0.1345442473288928,68,46939217284.70168,15560241514.413073,2093540982.8124979,0.1345442473288928,0.21899073621561546,0.13454424732889278
tipologia,q_pib_pop,QPIB2_QPOP3,ponderada_massa_obj4,0.13454424732889278,68,46939217284.70168,15560241514.413073,2093540982.8124979,0.1345442473288928,0.21899073621561546,0.13454424732889278
tipologia,q_pib_pop,QPIB2_QPOP4,simples,0.18740814897939626,7,3066668364.8375516,725791119.9446511,152812468.83486405,0.21054607122572336,0.18740814897939626,0.2105460712257234
tipologia,q_pib_pop,QPIB2_QPOP4,ponderada_refeita,0.21054607122572336,7,3066668364.8375516,725791119.9446511,152812468.83486405,0.21054607122572336,0.18740814897939626,0.2105460712257234
tipologia,q_pib_pop,QPIB2_QPOP4,ponderada_massa_obj4,0.2105460712257234,7,3066668364.8375516,725791119.9446511,152812468.83486405,0.21054607122572336,0.18740814897939626,0.2105460712257234
tipologia,q_pib_pop,QPIB3_QPOP1,simples,6.327890444366255,2,2007894488.6458888,204344935.16184437,937683646.6386654,4.588729570889562,6.327890444366255,4.588729570889562
tipologia,q_pib_pop,QPIB3_QPOP1,ponderada_refeita,4.588729570889562,2,2007894488.6458888,204344935.16184437,937683646.6386654,4.588729570889562,6.327890444366255,4.588729570889562
tipologia,q_pib_pop,QPIB3_QPOP1,ponderada_massa_obj4,4.588729570889562,2,2007894488.6458888,204344935.16184437,937683646.6386654,4.588729570889562,6.327890444366255,4.588729570889562
tipologia,q_pib_pop,QPIB3_QPOP2,simples,0.442250158743531,65,111131970126.53174,44131462963.21479,8592432496.846508,0.19470083065246713,0.442250158743531,0.19470083065246713
tipologia,q_pib_pop,QPIB3_QPOP2,ponderada_refeita,0.19470083065246713,65,111131970126.53174,44131462963.21479,8592432496.846508,0.19470083065246713,0.442250158743531,0.19470083065246713
tipologia,q_pib_pop,QPIB3_QPOP2,ponderada_massa_obj4,0.19470083065246713,65,111131970126.53174,44131462963.21479,8592432496.846508,0.19470083065246713,0.442250158743531,0.19470083065246713
tipologia,q_pib_pop,QPIB3_QPOP3,simples,0.48011344994885585,119,282161241352.7523,108658149748.12367,16716782827.900215,0.15384748283171354,0.48011344994885585,0.15384748283171357
tipologia,q_pib_pop,QPIB3_QPOP3,ponderada_refeita,0.15384748283171354,119,282161241352.7523,108658149748.12367,16716782827.900215,0.15384748283171354,0.48011344994885585,0.15384748283171357
tipologia,q_pib_pop,QPIB3_QPOP3,ponderada_massa_obj4,0.15384748283171357,119,282161241352.7523,108658149748.12367,16716782827.900215,0.15384748283171354,0.48011344994885585,0.15384748283171357
tipologia,q_pib_pop,QPIB3_QPOP4,simples,0.23279656197407544,43,80470569054.4569,30287315450.281696,3821917282.1205206,0.12618871053112676,0.23279656197407544,0.12618871053112676
tipologia,q_pib_pop,QPIB3_QPOP4,ponderada_refeita,0.12618871053112676,43,80470569054.4569,30287315450.281696,3821917282.1205206,0.12618871053112676,0.23279656197407544,0.12618871053112676
