Código CNAE;Descrição;Nível;Seção;Divisão;Grupo;Classe;Subclasse;Vínculos;Remuneração;Massa salarial;Salário relativo;Dif. abs.;Dif. %;Share vínculos;Share massa;Q salário;Q vínculos;Jenks;Rank salário;Rank vínculos;Rank massa;Classificação;Índice
6920602;Atividades de consultoria e auditoria contábil e tributária;Subclasse;M;69;692;69206;6920602;27330;4646,648791072082;126992911,46;1,6710353004044967;1865,9482337904387;67,10353004044967;0,00037576788021955403;0,0006279213926050436;4;3;2;229;432;311;Alta remuneração e alto emprego;0,04979106057564574
6435201;Sociedades de crédito imobiliário;Subclasse;K;64;643;64352;6435201;588;5283,514166666667;3106706,33;1,9000658495324374;2502,813609385024;90,00658495324375;0,000008084577883977232;0,000015361230345230358;4;1;2;175;1184;1130;Alta remuneração e baixo emprego;0,04956732106351498
8291100;Atividades de cobrança e informações cadastrais;Subclasse;N;82;829;82911;8291100;187122;2130,5432672801703;398671517,26;0,7661893912672664;-650,1572900014726;-23,381060873273363;0,0025727931680367138;0,0019712468312746314;2;4;1;941;82;122;Baixa remuneração e alto emprego;0,0492358347039812
2790202;Fabricação de equipamentos para sinalização e alarme;Subclasse;C;27;279;27902;2790202;4248;5161,616071092279;21926545,07;1,8562286606430471;2380,9155138106357;85,62286606430472;0,00005840695042710083;0,00010841665536354223;4;2;2;188;900;798;Alta remuneração e baixo emprego;0,0492041479233221
4744001;Comércio varejista de ferragens e ferramentas;Subclasse;G;47;474;47440;4744001;179370;2216,3254456709597;397542295,19;0,7970385160197166;-564,3751116106832;-20,296148398028336;0,002466208733076524;0,0019656633488061783;2;4;1;890;87;123;Baixa remuneração e alto emprego;0,04910642781274877
1066000;Fabricação de alimentos para animais;Subclasse;C;10;106;10660;1066000;115069;3069,773020883122;353235711,74;1,103956703588419;289,0724636014793;10,395670358841901;0,0015821161437608439;0,0017465877227602427;3;4;1;513;140;135;Alta remuneração e alto emprego;0,04895430053440887
6629100;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Subclasse;K;66;662;66291;6629100;7055;5065,8783132530125;35739771,5;1,8217992944214438;2285,1777559713696;82,17992944214438;0,00009700118532561118;0,00017671669098424218;4;2;2;192;798;678;Alta remuneração e baixo emprego;0,0488642816423948
2422902;Produção de laminados planos de aços especiais;Subclasse;C;24;242;24229;2422902;3607;5148,753390629332;18571553,48;1,8516029628384907;2368,052833347689;85,16029628384906;0,00004959366059099639;0,00009182776888829543;4;2;2;190;935;835;Alta remuneração e baixo emprego;0,04878825952640764
2815102;Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;Subclasse;C;28;281;28151;2815102;13687;4893,478332724483;66977037,94;1,7598005365627176;2112,7777754428403;75,98005365627176;0,00018818642431632038;0,0003311705704856799;4;3;2;209;618;484;Alta remuneração e alto emprego;0,04874316899226073
2312500;Fabricação de embalagens de vidro;Subclasse;C;23;231;23125;2312500;8756;5010,030568752854;43867827,66;1,8017152388571316;2229,3300114712115;80,17152388571316;0,00012038871420425962;0,0002169061809682306;4;2;2;199;754;611;Alta remuneração e baixo emprego;0,048676804900827715
2862300;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;Subclasse;C;28;286;28623;2862300;28328;4548,158604913866;128840236,96;1,6356161014906454;1767,458047632223;63,56161014906454;0,00038948966377093033;0,0006370555654279115;4;3;2;246;423;307;Alta remuneração e alto emprego;0,04862414194816851
1099699;Fabricação de outros produtos alimentícios não especificados anteriormente;Subclasse;C;10;109;10996;1099699;121868;2955,367503118128;360164726,87;1,0628140075633443;174,66694583648496;6,281400756334432;0,0016755975128648595;0,001780848507711074;3;4;1;545;130;132;Alta remuneração e alto emprego;0,04848535701364003
4684202;Comércio atacadista de solventes;Subclasse;G;46;468;46842;4684202;116;5208,523189655172;604188,69;1,8730974739498452;2427,8226323735294;87,30974739498451;0,0000015949167254104745;0,000002987434489526719;4;1;2;183;1269;1244;Alta remuneração e baixo emprego;0,048346696290202454
2651500;Fabricação de aparelhos e equipamentos de medida, teste e controle;Subclasse;C;26;265;26515;2651500;30837;4472,070624574375;137905241,85;1,6082532198095365;1691,370067292732;60,82532198095365;0,00042398661259898966;0,0006818778348684639;4;3;2;255;399;297;Alta remuneração e alto emprego;0,04829385449076325
5822101;Edição integrada à impressão de jornais diários;Subclasse;J;58;582;58221;5822101;12735;4881,001571260306;62159555,01;1,755313623568255;2100,3010139786634;75,5313623568255;0,000175097107742262;0,0003073503386673911;4;3;2;211;638;508;Alta remuneração e alto emprego;0,04822581480485027
1052000;Fabricação de laticínios;Subclasse;C;10;105;10520;1052000;135960;2752,99273521624;374296892,28;0,990035668532217;-27,70782206540298;-0,9964331467782972;0,001869352396438001;0,0018507255495297985;3;4;1;604;120;128;Baixa remuneração e alto emprego;0,04810570241786142
0161099;Atividades de apoio à agricultura não especificadas anteriormente;Subclasse;A;01;016;01610;0161099;173435;2212,4036370398135;383708224,79;0,795628148901662;-568,2969202418294;-20,4371851098338;0,0023846067437203935;0,0018972602493646767;2;4;1;895;89;127;Baixa remuneração e alto emprego;0,047710237235979225
9499500;Atividades associativas não especificadas anteriormente;Subclasse;S;94;949;94995;9499500;111308;3051,7214841700506;339681014,96;1,0974649809662902;271,02092688840776;9,746498096629018;0,001530405093724044;0,0016795659970545716;3;4;1;520;144;139;Alta remuneração e alto emprego;0,04761047771230385
4623199;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;Subclasse;G;46;462;46231;4623199;37625;4274,143204252492;160814638,06;1,5370742430572275;1493,4426469708492;53,70742430572275;0,0005173167395997336;0,0007951542359410936;4;3;2;284;343;258;Alta remuneração e alto emprego;0,04743258628089373
1932200;Fabricação de biocombustíveis, exceto álcool;Subclasse;C;19;193;19322;1932200;6750;4970,802242962963;33552915,14;1,7876078853389088;2190,10168568132;78,76078853389087;0,0000928076542803509;0,0001659036946113626;4;2;2;200;813;697;Alta remuneração e baixo emprego;0,04739849148554229
6493000;Administração de consórcios para aquisição de bens e direitos;Subclasse;K;64;649;64930;6493000;23507;4568,24705151657;107385783,44;1,6428403409184038;1787,5464942349267;64,28403409184038;0,0003232043746915864;0,0005309731851046454;4;3;2;241;470;373;Alta remuneração e alto emprego;0,047306603236886874
2812700;Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;Subclasse;C;28;281;28127;2812700;18704;4672,21182474337;87389049,97;1,6802283196256236;1891,5112674617271;68,02283196256236;0,0002571665726903234;0,00043209855829534296;4;3;2;228;545;420;Alta remuneração e alto emprego;0,04723021853069048
