id_tipologia,regiao,tipologia_pndr,pib_2021_mil,pib_pc_2021,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,jenks_pib_2021,jenks_pib_pc_2021,jenks_pop_2021,cruz_q_pib_pop,cruz_q_pibpc_pop,cruz_j_pib_pop,cruz_j_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop,flag_dep_j_pib_pop,flag_dep_j_pibpc_pop
260013,2,Baixa Renda e Médio Dinamismo,4951510,14941.2790662587,331398,318489,1425742364.778203,463560538.8666449,2947775.632125854,3718974.657470703,6666750.289596558,.0143816173522795,3,1,4,1,1,1,QPIB3_QPOP4,QPIBPC1_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
240010,2,Média Renda e Médio Dinamismo,2845440,11839.42480527262,240336,226934,549125545.3466003,155366140.2237975,145869.130859375,48440,194309.130859375,.0012506530095906,3,1,3,1,1,1,QPIB3_QPOP3,QPIBPC1_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
410011,4,Média Renda e Médio Dinamismo,3601691,33653.42963662017,107023,104703,1060431517.38918,328571115.8170693,35321040.52724838,2218248.729492188,37539289.25674057,.114250119531628,3,3,2,1,1,1,QPIB3_QPOP2,QPIBPC3_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
130003,1,Baixa Renda e Baixo Dinamismo,4236312,26669.6381355292,158844,131789,541260743.4159791,19330316.42637634,49192.3203125,350927776.0888672,350976968.4091797,18.15681443942994,3,3,3,1,1,1,QPIB3_QPOP3,QPIBPC3_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
140004,1,Baixa Renda e Médio Dinamismo,637844,18083.57904286686,35272,30795,51770656.42064667,7077949.991783142,10061320.6522522,38368.52026367188,10099689.17251587,1.426922934499494,1,2,1,1,1,1,QPIB1_QPOP1,QPIBPC2_QPOP1,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
510003,5,Média Renda e Alto Dinamismo,9228846,107239.838248623,86058,72687,1969901478.204839,353961182.6907932,826129927.240591,5148789.04650116,831278716.2870922,2.348502482582293,4,4,2,1,1,1,QPIB4_QPOP2,QPIBPC4_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
430025,4,Alta Renda,15428467,55349.75335880464,278745,277300,9029302117.794579,4330103370.877377,121951608.6176414,10121631.7763654,132073240.3940068,.0305011749332085,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420016,4,Alta Renda,62928564,60301.99021232189,1043557,1060924,44435770718.58313,23403195390.00314,8369896.495834351,111011080.7376232,119380977.2334576,.005101054588659,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
350025,3,Alta Renda,34346158,36767.08683248497,934155,934984,27155653413.65998,11320209834.28951,1087988312.374569,45062399.46896362,1133050711.843532,.1000909637214906,4,3,4,1,1,1,QPIB4_QPOP4,QPIBPC3_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
2609600,2,Média Renda e Baixo Dinamismo,5093215,12935.67484646995,393734,349341,5158231539.873725,1531932658.175561,184220.3688964844,1174007.10333252,1358227.472229004,.0008866104296298,3,1,4,1,1,1,QPIB3_QPOP4,QPIBPC1_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
